Job name,Duration,Time of execution,Result
AMS.AcceptanceTests.Web,384708,2016-12-21T15:35:06Z,SUCCESS
AMS.AcceptanceTests.Web,383177,2016-12-21T15:05:08Z,SUCCESS
AMS.AcceptanceTests.Web,423243,2016-12-21T14:50:34Z,SUCCESS
AMS.AcceptanceTests.Web,556675,2016-12-21T14:41:17Z,SUCCESS
AMS.AcceptanceTests.Web,387129,2016-12-21T14:23:25Z,SUCCESS
AMS.AcceptanceTests.Web,433843,2016-12-21T13:47:47Z,SUCCESS
AMS.AcceptanceTests.Web,618021,2016-12-21T13:37:29Z,SUCCESS
AMS.AcceptanceTests.Web,495553,2016-12-21T13:28:57Z,SUCCESS
AMS.AcceptanceTests.Web,387662,2016-12-21T12:22:38Z,SUCCESS
AMS.AcceptanceTests.Web,513687,2016-12-21T09:10:46Z,SUCCESS
AMS.AcceptanceTests.Web,385897,2016-12-20T16:30:47Z,SUCCESS
AMS.AcceptanceTests.Web,391954,2016-12-20T10:44:35Z,SUCCESS
AMS.AcceptanceTests.Web,420288,2016-12-19T16:20:04Z,SUCCESS
AMS.AcceptanceTests.Web,362786,2016-12-19T16:14:01Z,SUCCESS
AMS.AcceptanceTests.Web,380700,2016-12-19T12:01:26Z,SUCCESS
AMS.AcceptanceTests.Web,381410,2016-12-16T11:03:34Z,SUCCESS
AMS.AcceptanceTests.Web,383141,2016-12-15T14:00:20Z,SUCCESS
AMS.AcceptanceTests.Web,388855,2016-12-14T10:16:30Z,SUCCESS
AMS.AcceptanceTests.Web,365169,2016-12-12T15:47:18Z,SUCCESS
AMS.AcceptanceTests.Web,508864,2016-12-12T11:37:39Z,SUCCESS
AMS.AcceptanceTests.Web,385368,2016-12-12T11:18:14Z,SUCCESS
AMS.AcceptanceTests.Web,382556,2016-12-12T10:52:06Z,SUCCESS
AMS.AcceptanceTests.Web,478373,2016-12-09T16:26:16Z,SUCCESS
AMS.AcceptanceTests.Web,594215,2016-12-09T15:32:29Z,SUCCESS
AMS.AcceptanceTests.Web,387884,2016-12-09T15:18:08Z,SUCCESS
AMS.AcceptanceTests.Web,588121,2016-12-09T14:32:36Z,SUCCESS
AMS.AcceptanceTests.Web,384920,2016-12-06T17:07:24Z,SUCCESS
AMS.AcceptanceTests.Web,410156,2016-12-06T13:02:05Z,SUCCESS
AMS.AcceptanceTests.Web,392034,2016-12-06T12:43:07Z,SUCCESS
AMS.AcceptanceTests.Web,383930,2016-12-02T11:06:46Z,SUCCESS
AMS.AcceptanceTests.Web,385564,2016-12-01T15:18:45Z,SUCCESS
AMS.AcceptanceTests.Web,573123,2016-11-30T16:44:49Z,SUCCESS
AMS.AcceptanceTests.Web,381650,2016-11-30T15:44:07Z,SUCCESS
AMS.AcceptanceTests.Web,377672,2016-11-30T15:07:12Z,SUCCESS
AMS.AcceptanceTests.Web,378954,2016-11-30T12:28:52Z,SUCCESS
AMS.AcceptanceTests.Web,379795,2016-11-30T11:07:08Z,SUCCESS
AMS.AcceptanceTests.Web,379941,2016-11-30T09:55:11Z,SUCCESS
